Date,High,Low,Open,Close
01-09-2015,0.00783274,0.00769403,0.00782051,0.00770012
02-09-2015,0.0076991,0.00743069,0.00769223,0.00743069
03-09-2015,0.00743333,0.0072865,0.00742971,0.00735501
04-09-2015,0.00792131,0.00735091,0.00735246,0.00786027
05-09-2015,0.00794581,0.00777936,0.00786148,0.0078907
06-09-2015,0.00795455,0.00788944,0.00788944,0.00791775
07-09-2015,0.00797846,0.00783001,0.00791677,0.00783145
08-09-2015,0.00782961,0.00766377,0.00782961,0.00767789
09-09-2015,0.00771997,0.00766068,0.00768512,0.00766268
10-09-2015,0.00844425,0.0076331,0.00766054,0.00844425
11-09-2015,0.00844713,0.00814352,0.00844713,0.00819714
12-09-2015,0.0085377,0.00814994,0.00819692,0.00853182
13-09-2015,0.00864533,0.00740404,0.00853521,0.00740404
14-09-2015,0.00789216,0.00734414,0.00739849,0.00771955
15-09-2015,0.00775197,0.00740602,0.00772115,0.00742566
16-09-2015,0.00743818,0.00736259,0.00742724,0.00737193
17-09-2015,0.00753796,0.00737712,0.0073828,0.007529
18-09-2015,0.00752704,0.00736371,0.00752684,0.00748187
19-09-2015,0.00768823,0.00747936,0.0074822,0.00763701
20-09-2015,0.00763372,0.00724654,0.00763311,0.00724669
21-09-2015,0.00724983,0.00715153,0.0072452,0.00716754
22-09-2015,0.00718257,0.00666793,0.0071675,0.00666824
23-09-2015,0.0067097,0.00660362,0.00666769,0.0067097
24-09-2015,0.00673587,0.00662485,0.0067066,0.0066503
25-09-2015,0.00665121,0.00650106,0.00665121,0.0065013
26-09-2015,0.00656176,0.00643122,0.00650025,0.00653617
27-09-2015,0.00657286,0.00628988,0.00653464,0.0062935
28-09-2015,0.00629104,0.00557935,0.00629104,0.00557935
29-09-2015,0.00558225,0.00542059,0.00558225,0.00552017
30-09-2015,0.00553983,0.00542826,0.00551802,0.00544827
01-10-2015,0.0058688,0.00544256,0.00544547,0.00586803
02-10-2015,0.00590199,0.0055139,0.00585511,0.00551664
03-10-2015,0.00551492,0.00523623,0.00551492,0.00523623
04-10-2015,0.00523735,0.00500757,0.00523735,0.00500757
05-10-2015,0.00533595,0.00499139,0.00500861,0.00532817
06-10-2015,0.00547736,0.00532677,0.0053277,0.00537507
07-10-2015,0.0053753,0.00503091,0.0053753,0.00503091
08-10-2015,0.00503499,0.00485747,0.00503161,0.00498277
09-10-2015,0.00511584,0.00496984,0.00498293,0.00503727
10-10-2015,0.00518327,0.00501099,0.00503752,0.0051822
11-10-2015,0.00526494,0.00517376,0.00518129,0.00526018
12-10-2015,0.00538568,0.00524581,0.00526183,0.0053765
13-10-2015,0.00546427,0.0053758,0.00537875,0.00541833
